Altium Designer Pick and Place Locations
C:\Users\TH24\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB2.txt

========================================================================================================================
File Design Information:

Date:       30.01.22
Time:       12:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                             Layer       Footprint                                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                
*          "Molex 0353620450"                  TopLayer    PCB-dbci3ib1q6wlta0cp8e4-1                 497.126       2233.464      90       "Conn Shrouded Header HDR 4 POS 2mm Solder ST Thru-Hole SherlockÃ¢âÂ¢ Bag"                                                 
*          "Molex 0353620450"                  TopLayer    PCB-dbci3ib1q6wlta0cp8e4-1                 2061.812      791.338       180      "Conn Shrouded Header HDR 4 POS 2mm Solder ST Thru-Hole SherlockÃ¢âÂ¢ Bag"                                                 
*          "Molex 0353620450"                  TopLayer    PCB-dbci3ib1q6wlta0cp8e4-1                 497.126       3035.316      90       "Conn Shrouded Header HDR 4 POS 2mm Solder ST Thru-Hole SherlockÃ¢âÂ¢ Bag"                                                 
U4         "Espressif Systems ESP32-WROOM-32U" TopLayer    PCB-s9cahnfxwmssy5lrdql1-1                 1996.064      1980.315      90       "WiFi Modules (802.11) SMD Module, ESP32-D0WDQ6, 32Mbits SPI flash, UART Mode"                                             
R17        220Ohm                              BottomLayer RESC1608X55X30LL15T15                      2318.898      2236.220      270      "Thick Film Resistors 0603 220ohms 5% Tol"                                                                                 
R16        220Ohm                              BottomLayer RESC1608X55X30LL15T15                      1806.102      2645.669      270      "Thick Film Resistors 0603 220ohms 5% Tol"                                                                                 
R15        220Ohm                              BottomLayer RESC1608X55X30LL15T15                      2074.802      2100.393      90       "Thick Film Resistors 0603 220ohms 5% Tol"                                                                                 
R14        220Ohm                              BottomLayer RESC1608X55X30LL15T15                      1718.504      2176.181      90       "Thick Film Resistors 0603 220ohms 5% Tol"                                                                                 
R13        220Ohm                              BottomLayer RESC1608X55X30LL15T15                      659.448       3148.622      270      "Thick Film Resistors 0603 220ohms 5% Tol"                                                                                 
R12        220Ohm                              BottomLayer RESC1608X55X30LL15T15                      1809.055      2143.700      180      "Thick Film Resistors 0603 220ohms 5% Tol"                                                                                 
R11        220Ohm                              BottomLayer RESC1608X55X30LL15T15                      1651.574      2911.418      90       "Thick Film Resistors 0603 220ohms 5% Tol"                                                                                 
R10        2,2k                                BottomLayer RESC1005X37X25LL05T10                      677.166       1996.062      270      "Thick Film Resistors - SMD 1/16W 3.3K ohm 1%"                                                                             
R9         3,3k                                BottomLayer RESC1608X55X25LL10T15                      2102.362      2501.969      270      "RES SMD 2.2K OHM 1% 1/10W 0603"                                                                                           
R8         2,2k                                BottomLayer RESC1005X37X25LL05T10                      539.370       2449.802      90       "Thick Film Resistors - SMD 1/16W 3.3K ohm 1%"                                                                             
R7         3,3k                                BottomLayer RESC1608X55X25LL10T15                      1996.063      2608.266      180      "RES SMD 2.2K OHM 1% 1/10W 0603"                                                                                           
R6         2,2k                                BottomLayer RESC1005X37X25LL05T10                      673.228       2114.174      270      "Thick Film Resistors - SMD 1/16W 3.3K ohm 1%"                                                                             
R5         3,3k                                BottomLayer RESC1608X55X25LL10T15                      1404.528      2923.229      270      "RES SMD 2.2K OHM 1% 1/10W 0603"                                                                                           
R4         3,3k                                BottomLayer RESC1608X55X25LL10T15                      2202.756      2199.804      0        "RES SMD 2.2K OHM 1% 1/10W 0603"                                                                                           
R3         2,2k                                BottomLayer RESC1005X37X25LL05T10                      704.726       2188.976      270      "Thick Film Resistors - SMD 1/16W 3.3K ohm 1%"                                                                             
D8         "Dialight 598-8191-107F"            BottomLayer PCB-8gfa86omdps060zikj8u-1                 2273.622      2105.314      0        "598 Series Blue 2 x 1.25 x 0.7 mm 140° Water Clear 140 mcd 3.2 V SMT LED"                                                 
D7         "Dialight 598-8191-107F"            TopLayer    PCB-8gfa86omdps060zikj8u-1                 2503.938      1473.425      270      "598 Series Blue 2 x 1.25 x 0.7 mm 140° Water Clear 140 mcd 3.2 V SMT LED"                                                 
D6         "Dialight 598-8191-107F"            BottomLayer PCB-8gfa86omdps060zikj8u-1                 1935.039      2074.802      0        "598 Series Blue 2 x 1.25 x 0.7 mm 140° Water Clear 140 mcd 3.2 V SMT LED"                                                 
D5         "Dialight 598-8191-107F"            BottomLayer PCB-8gfa86omdps060zikj8u-1                 1765.748      2072.836      180      "598 Series Blue 2 x 1.25 x 0.7 mm 140° Water Clear 140 mcd 3.2 V SMT LED"                                                 
D4         "Dialight 598-8191-107F"            BottomLayer PCB-8gfa86omdps060zikj8u-1                 879.921       3169.292      180      "598 Series Blue 2 x 1.25 x 0.7 mm 140° Water Clear 140 mcd 3.2 V SMT LED"                                                 
D3         "Dialight 598-8191-107F"            BottomLayer PCB-8gfa86omdps060zikj8u-1                 2075.788      2243.110      90       "598 Series Blue 2 x 1.25 x 0.7 mm 140° Water Clear 140 mcd 3.2 V SMT LED"                                                 
D2         "Dialight 598-8191-107F"            BottomLayer PCB-8gfa86omdps060zikj8u-1                 1311.024      3142.715      270      "598 Series Blue 2 x 1.25 x 0.7 mm 140° Water Clear 140 mcd 3.2 V SMT LED"                                                 
*2         "Molex 0353620450"                  TopLayer    PCB-dbci3ib1q6wlta0cp8e4-1                 1669.292      1036.614      90       "Conn Shrouded Header HDR 4 POS 2mm Solder ST Thru-Hole SherlockÃ¢âÂ¢ Bag"                                                 
*1         "Molex 0353620450"                  TopLayer    PCB-dbci3ib1q6wlta0cp8e4-1                 2464.566      1023.740      270      "Conn Shrouded Header HDR 4 POS 2mm Solder ST Thru-Hole SherlockÃ¢âÂ¢ Bag"                                                 
X1         16.000MHZ                           TopLayer    PCB-m5wiadh0ra6h79h7klez-1                 1225.985      2624.016      180      "CRYSTAL, THT, 16.000MHZ; Frequency: 16MHz; Frequency Tolerance: ± 30ppm; Load Capacitance: 18pF; Frequency Tolerance:..." 
U3         LD1117DT33TR                        BottomLayer TO-252_N                                   2007.874      3027.559      90       "Fixed Low Drop Positive Voltage Regulator, 3.3V, 3-Pin DPAK, Tape and Reel"                                               
U2         "Microchip ATMEGA328P-AU"           BottomLayer PCB-pmhtxxix7sripjdh33vl-1                 778.796       2478.638      180      "ATmega Series 32 kB Flash 2 kB SRAM 20 MHz 8-Bit Microcontroller - TQFP-32"                                               
U1         "FTDI FT232RL"                      BottomLayer PCB-uwrbgvod66r8ixue8rhm-1                 2068.898      1752.951      180      "Usb Interface Ics Usb to Serial Uart 28 Pin SSOP"                                                                         
""         "Amphenol ICC / FCI 68786-102LF"    BottomLayer Amphenol_ICC___FCI_68786-102LF-Footprint-1 687.008       2887.992      0        "connector; 1x2 low profile jumper assembly; gold plated cont; polyester body"                                             
R1         12k                                 BottomLayer RESC6432X07N                               1520.668      2486.220      90       "Res Thick Film 2512 12K Ohm 1% 2W ±100ppm/C Pad SMD Automotive T/R"                                                       
J2         INPUT_Power                         TopLayer    PCB-6ccby9ci1emhqvhnf7pu-1                 1515.748      3129.922      0        "Conn Terminal Block 3 POS 2.54mm Solder ST Thru-Hole 10A/Contact"                                                         
J1         "JAE Electronics DX07S024WJ1R350"   BottomLayer PCB-c92dq56pmj9hhsl6x7py-1                 2075.788      1290.354      270      "Vertical Mount Type C receptacle; 12mm Height"                                                                            
D1         1N4007                              TopLayer    PCBComponent_1                             2316.930      2648.622      180      "1N4007 Series 1000 V 1 A Axial Lead Standard Recovery Rectifier - CASE 59-10"                                             
C11        1nF                                 BottomLayer CAPC3216X88X50NL20T25                      1388.780      2283.464      180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 1000pF 10% X7R"                                                      
C10        "CAP 10uF 0603"                     BottomLayer CC0603_OV                                  2194.882      2777.560      0        "C Series 0603 10 uF 25 V ±10 % Tolerance X5R Multilayer Ceramic Capacitor"                                                
C9         "100 nf"                            BottomLayer CAPC1608X87X35LL15T15                      1035.433      2405.510      180      "Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"                                                        
C7         100nF                               BottomLayer CAPC3216X09L                               1075.786      3179.133      90       "1206 100000 pF 50V ±10% Tolerance X7R Surface Mount Multilayer Ceramic Capacitor"                                         
C6         30pF                                BottomLayer CAPC1608X92X38ML15T08                      1949.804      2241.141      90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 30pF 250V C0G 5% HI FREQ"                                               
